# mass [M_sol]  radius [km] love_number
m r l
1.902814350000000099e+00 1.102905660000000054e+01 2.337837299999999985e+01
1.938256049999999897e+00 1.098076539999999923e+01 1.952392430000000090e+01
1.970567079999999915e+00 1.093063989999999919e+01 1.646650849999999977e+01
1.999921650000000106e+00 1.087880359999999946e+01 1.401045670000000065e+01
2.026438140000000221e+00 1.082601700000000022e+01 1.202934959999999975e+01
2.050221389999999921e+00 1.077204949999999961e+01 1.041147220000000040e+01
2.071574179999999821e+00 1.071771219999999936e+01 9.083743399999999468e+00
2.090463150000000159e+00 1.066233959999999925e+01 7.983248230000000056e+00
2.107343789999999828e+00 1.060679099999999941e+01 7.061205120000000335e+00
2.122121100000000204e+00 1.055105179999999976e+01 6.288401440000000342e+00
2.135054400000000019e+00 1.049525069999999971e+01 5.632491790000000442e+00
2.146282939999999861e+00 1.043959429999999955e+01 5.074308059999999898e+00
2.155945040000000201e+00 1.038407710000000073e+01 4.594850390000000395e+00
2.164087079999999830e+00 1.032869679999999946e+01 4.185150590000000115e+00
2.170828150000000178e+00 1.027387839999999919e+01 3.827288450000000175e+00
2.176412589999999980e+00 1.021941039999999923e+01 3.515874360000000198e+00
2.180830579999999852e+00 1.016566360000000024e+01 3.244834389999999846e+00
2.184223949999999803e+00 1.011256260000000040e+01 3.006982189999999999e+00
2.186652630000000208e+00 1.005991900000000072e+01 2.797211869999999934e+00
2.188209159999999986e+00 1.000766879999999937e+01 2.610373249999999867e+00
2.188956469999999932e+00 9.957423059999999992e+00 2.447977090000000189e+00
2.188959950000000099e+00 9.906254960000000054e+00 2.298739470000000118e+00
2.188304469999999835e+00 9.857126360000000531e+00 2.169068279999999849e+00
2.187086859999999966e+00 9.808113119999999796e+00 2.049964829999999960e+00
2.185316390000000109e+00 9.760344480000000544e+00 1.944506660000000053e+00
2.182973109999999828e+00 9.712800310000000437e+00 1.848477080000000106e+00
2.180311109999999886e+00 9.667327639999999889e+00 1.763018259999999948e+00
2.177140989999999832e+00 9.621569380000000393e+00 1.684401789999999899e+00
2.173629500000000103e+00 9.577106490000000250e+00 1.613331679999999935e+00
2.169780879999999801e+00 9.533391650000000439e+00 1.548606280000000002e+00
2.165682270000000020e+00 9.490717760000000780e+00 1.489844989999999925e+00
